result_id,claim,dataset,split,metric,method,value,unit,ci95_low,ci95_high,uncertainty,artifact_source,classification,note
R152,ARC2 supporting evaluation,ARC2,all,selection_gap,pinned path,0.0875,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R153,ARC2 supporting evaluation,ARC2,all,rank1_accuracy,B1,0.029166666666666667,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R154,ARC2 supporting evaluation,ARC2,all,top2_accuracy,B1,0.05,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R155,ARC2 supporting evaluation,ARC2,all,rank1_accuracy,M1,0.029166666666666667,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R156,ARC2 supporting evaluation,ARC2,all,top2_accuracy,M1,0.04583333333333333,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R157,ARC2 supporting evaluation,ARC2,all,rank1_accuracy,M1+M2,0.029166666666666667,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R158,ARC2 supporting evaluation,ARC2,all,top2_accuracy,M1+M2,0.0375,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R159,ARC2 supporting evaluation,ARC2,all,rank1_accuracy,M1+M2+M3,0.029166666666666667,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R160,ARC2 supporting evaluation,ARC2,all,top2_accuracy,M1+M2+M3,0.0375,fraction,,,,results/arc2_supporting/frozen_method_results.csv,SUPPORTING,
R161,ARC2 selective prediction,ARC2,all,defect_AURC,structural_defect,0.9180768700795726,area,0.8261435387233548,0.9978830911092326,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,SUPPORTING,
R162,ARC2 selective prediction,ARC2,all,defect_minus_random_AURC,structural_defect,-0.05275646325376071,area,-0.12127500165351199,0.010857276406621201,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,SUPPORTING,ambiguous; only 3.5 puzzle-equivalent correct
